date,kaf
1970-10-31,23.11
1970-11-30,23.11
1970-12-31,23.11
1971-01-31,21.753
1971-02-28,1.8140000000000016
1971-03-31,0.6169999999999991
1971-04-30,23.11
1971-05-31,23.11
1971-06-30,23.11
1971-07-31,23.11
1971-08-31,23.11
1971-09-30,23.11
1971-10-31,23.11
1971-11-30,23.11
1971-12-31,23.11
1972-01-31,21.753
1972-02-29,22.493
1972-03-31,23.11
1972-04-30,23.11
1972-05-31,23.11
1972-06-30,23.11
1972-07-31,23.11
1972-08-31,23.11
1972-09-30,23.11
1972-10-31,23.11
1972-11-30,23.11
1972-12-31,23.11
1973-01-31,0.0
1973-02-28,1.8140000000000016
1973-03-31,0.6169999999999991
1973-04-30,23.11
1973-05-31,23.11
1973-06-30,23.11
1973-07-31,23.11
1973-08-31,23.11
1973-09-30,23.11
1973-10-31,21.284000000000002
1973-11-30,23.11
1973-12-31,23.11
1974-01-31,21.645607636402907
1974-02-28,1.8140000000000016
1974-03-31,0.6169999999999991
1974-04-30,23.11
1974-05-31,23.11
1974-06-30,23.11
1974-07-31,23.11
1974-08-31,23.11
1974-09-30,23.11
1974-10-31,23.11
1974-11-30,23.11
1974-12-31,23.11
1975-01-31,21.753
1975-02-28,22.493
1975-03-31,23.11
1975-04-30,23.11
1975-05-31,23.11
1975-06-30,23.11
1975-07-31,23.11
1975-08-31,23.11
1975-09-30,23.11
1975-10-31,23.11
1975-11-30,23.11
1975-12-31,23.11
1976-01-31,21.753
1976-02-29,22.493
1976-03-31,23.11
1976-04-30,23.11
1976-05-31,23.11
1976-06-30,23.11
1976-07-31,23.11
1976-08-31,23.11
1976-09-30,23.11
1976-10-31,23.11
1976-11-30,23.11
1976-12-31,23.11
1977-01-31,21.753
1977-02-28,22.493
1977-03-31,23.11
1977-04-30,23.11
1977-05-31,23.11
1977-06-30,23.11
1977-07-31,23.11
1977-08-31,23.11
1977-09-30,23.11
1977-10-31,23.11
1977-11-30,21.473717240516912
1977-12-31,2.634473500638533
1978-01-31,0.0
1978-02-28,1.8140000000000016
1978-03-31,0.6169999999999991
1978-04-30,23.11
1978-05-31,23.11
1978-06-30,23.11
1978-07-31,23.11
1978-08-31,23.11
1978-09-30,23.11
1978-10-31,23.11
1978-11-30,23.11
1978-12-31,23.11
1979-01-31,21.753
1979-02-28,1.8140000000000016
1979-03-31,0.6169999999999991
1979-04-30,23.11
1979-05-31,23.11
1979-06-30,23.11
1979-07-31,23.11
1979-08-31,23.11
1979-09-30,23.11
1979-10-31,21.284000000000002
1979-11-30,19.777616125546228
1979-12-31,23.11
1980-01-31,0.0
1980-02-29,1.8140000000000016
1980-03-31,0.6169999999999991
1980-04-30,23.11
1980-05-31,23.11
1980-06-30,23.11
1980-07-31,23.11
1980-08-31,23.11
1980-09-30,23.11
1980-10-31,23.11
1980-11-30,23.11
1980-12-31,23.11
1981-01-31,21.753
1981-02-28,14.053128977254534
1981-03-31,23.11
1981-04-30,23.11
1981-05-31,23.11
1981-06-30,23.11
1981-07-31,23.11
1981-08-31,23.11
1981-09-30,23.11
1981-10-31,23.11
1981-11-30,23.11
1981-12-31,23.11
1982-01-31,0.0
1982-02-28,1.8140000000000016
1982-03-31,0.6169999999999991
1982-04-30,23.11
1982-05-31,23.11
1982-06-30,23.11
1982-07-31,23.11
1982-08-31,23.11
1982-09-30,23.11
1982-10-31,21.284000000000002
1982-11-30,7.9937172405169035
1982-12-31,0.0
1983-01-31,0.0
1983-02-28,0.0
1983-03-31,0.0
1983-04-30,23.11
1983-05-31,23.11
1983-06-30,23.11
1983-07-31,23.11
1983-08-31,23.11
1983-09-30,23.11
1983-10-31,15.060072244696574
1983-11-30,17.06855405038198
1983-12-31,23.11
1984-01-31,21.753
1984-02-29,1.8140000000000016
1984-03-31,23.11
1984-04-30,23.11
1984-05-31,23.11
1984-06-30,23.11
1984-07-31,23.11
1984-08-31,23.11
1984-09-30,23.11
1984-10-31,23.11
1984-11-30,23.11
1984-12-31,23.11
1985-01-31,21.753
1985-02-28,1.8140000000000016
1985-03-31,0.6169999999999991
1985-04-30,23.11
1985-05-31,23.11
1985-06-30,23.11
1985-07-31,23.11
1985-08-31,23.11
1985-09-30,23.11
1985-10-31,21.284000000000002
1985-11-30,23.11
1985-12-31,23.11
1986-01-31,21.753
1986-02-28,1.8140000000000016
1986-03-31,0.6169999999999991
1986-04-30,23.11
1986-05-31,23.11
1986-06-30,23.11
1986-07-31,23.11
1986-08-31,23.11
1986-09-30,23.11
1986-10-31,23.11
1986-11-30,23.11
